VIN,YEAR,MAKE,Model,Body,Trim,ModelNumber,Doors,ExteriorColor,InteriorColor,EngineCylinders,EngineDisplacement,Transmission,Miles,SellingPrice,MSRP,BookValue,Invoice,DateInStock,Description,DealerZip,Ext_Color_Generic,Int_Color_Generic,Int_Upholstery,Engine_Block_Type,Engine_Aspiration_Type,Engine_Description,Transmission_Speed,Transmission_Description,Drivetrain,Fuel_Type,CityMPG,HighwayMPG,PassengerCapacity,ExtColorHexCode,EngineDisplacementCubicInches
3C7WDTCL2CG332806,2012,Ram,3500,Crew Cab Chassis-Cab,ST,DD8L93,4,Bright White,Dark Slate/Medium Graystone Interior,6,6.7L,Automatic,5,48180,48180,42029,43350,41243,,77037,White,Gray,,V,Direct Injection,Turbocharged Diesel I6 6.7L/408,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,FFFFFF,408
3C6UD5CL2CG333574,2012,Ram,2500,Crew Cab Pickup,ST,DJ7L91,4,Bright White,Dark Slate/Medium Graystone Interior,6,6.7L,Automatic,7,49085,49085,43381,44604,41246,,77037,White,Gray,,V,Direct Injection,Turbocharged Diesel I6 6.7L/408,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,FFFFFF,408
3C6UD5CLXCG333578,2012,Ram,2500,Crew Cab Pickup,ST,DJ7L91,4,Bright White,Dark Slate/Medium Graystone Interior,6,6.7L,Automatic,5,49085,49085,43381,44604,41246,,77037,White,Gray,,V,Direct Injection,Turbocharged Diesel I6 6.7L/408,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,FFFFFF,408
3C7WDKBL3CG327674,2012,Ram,4500,Regular Cab Chassis-Cab,ST,DP4L64,2,Bright White,Dark Slate/Medium Graystone Interior,6,6.7L,Automatic,88,45345,45345,40003,41239,41248,,77037,White,Gray,,I,Electronic Fuel Injection,Turbocharged Diesel I6 6.7L/408,6,6-Speed Automatic,RWD,Diesel Fuel,,,3,FFFFFF,408
3C7WDTCL5CG332721,2012,Ram,3500,Crew Cab Chassis-Cab,ST,DD8L93,4,Bright White,Dark Slate/Medium Graystone Interior,6,6.7L,Automatic,4,48270,48270,42104,43427,41248,,77037,White,Gray,,V,Direct Injection,Turbocharged Diesel I6 6.7L/408,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,FFFFFF,408
3C6UD5HL7CG333563,2012,Ram,2500,Crew Cab Pickup,ST,DJ7L92,4,Bright White,Dark Slate/Medium Graystone Interior,6,6.7L,Automatic,25,48110,48110,43384,43782,41248,,77037,White,Gray,,V,Direct Injection,Turbocharged Diesel I6 6.7L/408,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,FFFFFF,408
3C7WDTCL0CG332724,2012,Ram,3500,Crew Cab Chassis-Cab,ST,DD8L93,4,Bright White,Dark Slate/Medium Graystone Interior,6,6.7L,Automatic,7,48270,48270,42104,43427,41249,,77037,White,Gray,,V,Direct Injection,Turbocharged Diesel I6 6.7L/408,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,FFFFFF,408
3C6UD5CL6CG333576,2012,Ram,2500,Crew Cab Pickup,ST,DJ7L91,4,Bright White,Dark Slate/Medium Graystone Interior,6,6.7L,Automatic,7,49085,49085,43381,44604,41253,,77037,White,Gray,,V,Direct Injection,Turbocharged Diesel I6 6.7L/408,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,FFFFFF,408
3C6UD5CL7CG333571,2012,Ram,2500,Crew Cab Pickup,ST,DJ7L91,4,Bright White,Dark Slate/Medium Graystone Interior,6,6.7L,Automatic,8,49085,49085,43381,44604,41253,,77037,White,Gray,,V,Direct Injection,Turbocharged Diesel I6 6.7L/408,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,FFFFFF,408
3C6UD5CL8CG333577,2012,Ram,2500,Crew Cab Pickup,ST,DJ7L91,4,Bright White,Dark Slate/Medium Graystone Interior,6,6.7L,Automatic,7,49085,49085,43281,44604,41253,,77037,White,Gray,,V,Direct Injection,Turbocharged Diesel I6 6.7L/408,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,FFFFFF,408
3C6UD5CL9CG333572,2012,Ram,2500,Crew Cab Pickup,ST,DJ7L91,4,Bright White,Dark Slate/Medium Graystone Interior,6,6.7L,Automatic,9,49085,49085,43281,44604,41253,,77037,White,Gray,,V,Direct Injection,Turbocharged Diesel I6 6.7L/408,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,FFFFFF,408
3C7WDKEL0CG339986,2012,Ram,4500,Crew Cab Chassis-Cab,ST,DP4L93,4,Bright White,Dark Slate/Medium Graystone Interior,6,6.7L,Automatic,8,48435,48435,42653,43981,41253,,77037,White,Gray,,I,Electronic Fuel Injection,Turbocharged Diesel I6 6.7L/408,6,6-Speed Automatic,RWD,Diesel Fuel,,,6,FFFFFF,408
3C6UD5HL0CG333565,2012,Ram,2500,Crew Cab Pickup,ST,DJ7L92,4,Bright White,Dark Slate/Medium Graystone Interior,6,6.7L,Automatic,36,48110,48110,42489,43782,41254,,77037,White,Gray,,V,Direct Injection,Turbocharged Diesel I6 6.7L/408,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,FFFFFF,408
3C7WDTCL6CG332808,2012,Ram,3500,Crew Cab Chassis-Cab,ST,DD8L93,4,Bright White,Dark Slate/Medium Graystone Interior,6,6.7L,Automatic,7,48180,48180,42029,43350,41254,,77037,White,Gray,,V,Direct Injection,Turbocharged Diesel I6 6.7L/408,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,FFFFFF,408
3C7WDTCL6CG332596,2012,Ram,3500,Crew Cab Chassis-Cab,ST,DD8L93,4,Bright White,Dark Slate/Medium Graystone Interior,6,6.7L,Automatic,7,48530,48530,42317,43648,41262,,77037,White,Gray,,V,Direct Injection,Turbocharged Diesel I6 6.7L/408,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,FFFFFF,408
3C7WDTCL7CG332722,2012,Ram,3500,Crew Cab Chassis-Cab,ST,DD8L93,4,Bright White,Dark Slate/Medium Graystone Interior,6,6.7L,Automatic,8,48270,48270,42104,43427,41262,,77037,White,Gray,,V,Direct Injection,Turbocharged Diesel I6 6.7L/408,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,FFFFFF,408
3C7WDTBL3CG330550,2012,Ram,3500,Regular Cab Chassis-Cab,ST,DD8L64,2,Bright White,Dark Slate/Medium Graystone Interior,6,6.7L,Automatic,6,45645,45645,39844,41089,41269,,77037,White,Gray,,V,Direct Injection,Turbocharged Diesel I6 6.7L/408,6,6-Speed Automatic,4WD,Diesel Fuel,,,3,FFFFFF,408
3C7WDTCL2CG332725,2012,Ram,3500,Crew Cab Chassis-Cab,ST,DD8L93,4,Bright White,Dark Slate/Medium Graystone Interior,6,6.7L,Automatic,8,48335,48335,42158,43483,41269,,77037,White,Gray,,V,Direct Injection,Turbocharged Diesel I6 6.7L/408,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,FFFFFF,408
3C7WDTCL8CG332809,2012,Ram,3500,Crew Cab Chassis-Cab,ST,DD8L93,4,Bright White,Dark Slate/Medium Graystone Interior,6,6.7L,Automatic,5,48180,48180,42029,43350,41269,,77037,White,Gray,,V,Direct Injection,Turbocharged Diesel I6 6.7L/408,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,FFFFFF,408
3C6UD5HL4CG334069,2012,Ram,2500,Crew Cab Pickup,ST,DJ7L92,4,White,,6,6.7L,Automatic,25,47625,47625,42890,43369,41270,,77037,White,,,V,Direct Injection,Turbocharged Diesel I6 6.7L/408,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,,408
3C6UD5CL0CG333573,2012,Ram,2500,Crew Cab Pickup,ST,DJ7L91,4,Bright White,Dark Slate/Medium Graystone Interior,6,6.7L,Automatic,8,49085,49085,43281,44604,41271,,77037,White,Gray,,V,Direct Injection,Turbocharged Diesel I6 6.7L/408,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,FFFFFF,408
3C6UD5CL1CG333579,2012,Ram,2500,Crew Cab Pickup,ST,DJ7L91,4,Bright White,Dark Slate/Medium Graystone Interior,6,6.7L,Automatic,7,49085,49085,43381,44604,41277,,77037,White,Gray,,V,Direct Injection,Turbocharged Diesel I6 6.7L/408,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,FFFFFF,408
3C6UD5HL9CG132716,2012,Ram,2500,Crew Cab Pickup,ST,DJ7L92,4,White,,6,6.7L,Automatic,0,46925,46925,41495,42748,41281,,77037,White,,,V,Direct Injection,Turbocharged Diesel I6 6.7L/408,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,,408
3C6UD5CL7CG333568,2012,Ram,2500,Crew Cab Pickup,ST,DJ7L91,4,Bright White,Dark Slate/Medium Graystone Interior,6,6.7L,Automatic,6,49085,49085,43281,44604,41279,,77037,White,Gray,,V,Direct Injection,Turbocharged Diesel I6 6.7L/408,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,FFFFFF,408
3C63D3GL8CG285315,2012,Ram,3500,Crew Cab Pickup,ST,D28L92,4,White,,6,6.7L,Automatic,10,47765,47765,44490,44003,41290,,77037,White,,,I,Direct Injection,Diesel I6 6.7L/408,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,,408
3C6UD5FL6CG334948,2012,Ram,2500,Crew Cab Pickup,Laramie,DJ7P91,4,Black,,6,6.7L,Automatic,0,57135,57135,51450,51885,41292,,77037,Black,,,V,Direct Injection,Turbocharged Diesel I6 6.7L/408,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,0,408
3C6UD5HL8CG309353,2012,Ram,2500,Crew Cab Pickup,ST,DJ7L92,4,White,,6,6.7L,Automatic,25,48060,48060,43586,43739,41292,,77037,White,,,V,Direct Injection,Turbocharged Diesel I6 6.7L/408,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,,408
